Model,CV_Accuracy_Mean,CV_Accuracy_Std,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Training_Time
Gradient Boosting,0.9625,0.020009763241977653,0.9565217391304348,0.9578754578754579,0.9565217391304348,0.9556509118445131,102.38402771949768
Decision Tree,0.9015625,0.03336586953759785,0.8757763975155279,0.8845543116205453,0.8757763975155279,0.8696283298157934,1.0008881092071533
Random Forest,0.8703125,0.04032339968926231,0.8633540372670807,0.893719806763285,0.8633540372670807,0.8609639771233878,3.378321886062622
SVM (Linear),0.796875,0.02795084971874737,0.8198757763975155,0.8731586587658552,0.8198757763975155,0.8071077803716854,2.8365259170532227
Logistic Regression,0.7953125,0.010364452469860624,0.8260869565217391,0.8814229249011858,0.8260869565217391,0.8166014907350122,8.40305495262146
Naive Bayes,0.6875,0.046875,0.6521739130434783,0.6757787632078747,0.6521739130434783,0.6564125513848986,0.23071503639221191
SVM (RBF),0.5546875,0.01711632992203644,0.5341614906832298,0.5196687370600414,0.5341614906832298,0.4511141032880163,7.131497144699097
K-Nearest Neighbors,0.2890625,0.028384222069663984,0.2919254658385093,0.522066034651847,0.2919254658385093,0.2294654104341282,0.4558100700378418
